service_id,date,exception_type
C,20210401,1
C,20210402,1
A,20210405,1
B,20210406,1
B,20210407,1
B,20210408,1
B,20210409,1
A,20210412,1
A,20210413,1
A,20210414,1
A,20210415,1
A,20210416,1
A,20210419,1
A,20210420,1
A,20210421,1
A,20210422,1
A,20210423,1
A,20210426,1
A,20210427,1
A,20210428,1
A,20210429,1
A,20210430,1
A,20210505,1
A,20210506,1
A,20210510,1
A,20210511,1
A,20210512,1
A,20210513,1
A,20210514,1
A,20210517,1
A,20210518,1
A,20210519,1
A,20210520,1
A,20210521,1
A,20210524,1
A,20210525,1
A,20210526,1
A,20210527,1
A,20210528,1
A,20210529,1
A,20210531,1
C,20210601,1
C,20210602,1
C,20210603,1
C,20210604,1
A,20210607,1
A,20210608,1
A,20210609,1
A,20210610,1
A,20210611,1
A,20210614,1
A,20210615,1
A,20210616,1
A,20210617,1
A,20210618,1
A,20210621,1
A,20210622,1
A,20210623,1
A,20210624,1
A,20210625,1
A,20210628,1
A,20210629,1
A,20210630,1
A,20210701,1
A,20210702,1
A,20210705,1
A,20210706,1
A,20210707,1
A,20210708,1
A,20210709,1
A,20210712,1
A,20210713,1
A,20210714,1
A,20210715,1
A,20210716,1
A,20210717,1
A,20210718,1
A,20210719,1
A,20210720,1
A,20210721,1
A,20210724,1
A,20210725,1
A,20210726,1
A,20210727,1
A,20210728,1
A,20210729,1
A,20210730,1
A,20210802,1
A,20210803,1
A,20210804,1
A,20210805,1
A,20210806,1
A,20210810,1
C,20210811,1
C,20210812,1
C,20210813,1
C,20210817,1
B,20210818,1
B,20210819,1
B,20210820,1
C,20210823,1
C,20210824,1
C,20210825,1
C,20210826,1
C,20210827,1
C,20210830,1
C,20210831,1
C,20210901,1
C,20210902,1
C,20210903,1
C,20210906,1
C,20210907,1
C,20210908,1
C,20210909,1
C,20210910,1
C,20210913,1
C,20210914,1
C,20210915,1
C,20210916,1
C,20210917,1
B,20210921,1
A,20210922,1
B,20210924,1
A,20210927,1
A,20210928,1
A,20210929,1
A,20210930,1
A,20211001,1
A,20211004,1
A,20211005,1
A,20211006,1
B,20211007,1
B,20211008,1
A,20211009,1
A,20211010,1
A,20211012,1
A,20211013,1
A,20211014,1
A,20211015,1
C,20211016,1
A,20211018,1
A,20211019,1
A,20211020,1
A,20211021,1
A,20211022,1
C,20211023,1
A,20211025,1
A,20211026,1
A,20211027,1
A,20211028,1
A,20211029,1
A,20211030,1
A,20211031,1
A,20211101,1
B,20211102,1
A,20211104,1
A,20211105,1
A,20211108,1
A,20211109,1
A,20211110,1
A,20211111,1
A,20211112,1
A,20211113,1
A,20211115,1
A,20211116,1
A,20211117,1
A,20211118,1
A,20211119,1
A,20211120,1
A,20211121,1
A,20211122,1
A,20211124,1
A,20211125,1
A,20211126,1
A,20211127,1
A,20211128,1
A,20211129,1
A,20211130,1
A,20211201,1
A,20211202,1
A,20211203,1
A,20211206,1
A,20211207,1
A,20211208,1
A,20211209,1
A,20211210,1
A,20211213,1
A,20211214,1
A,20211215,1
A,20211216,1
A,20211217,1
A,20211218,1
A,20211220,1
A,20211221,1
A,20211222,1
A,20211223,1
A,20211224,1
C,20220107,1
A,20220111,1
A,20220112,1
A,20220113,1
A,20220114,1
A,20220115,1
A,20220116,1
A,20220117,1
A,20220118,1
A,20220119,1
A,20220120,1
A,20220121,1
A,20220124,1
A,20220125,1
C,20220126,1
A,20220127,1
A,20220128,1
A,20220129,1
A,20220131,1
A,20220201,1
A,20220202,1
A,20220203,1
A,20220204,1
A,20220207,1
A,20220208,1
A,20220209,1
A,20220210,1
A,20220211,1
C,20220214,1
C,20220215,1
A,20220216,1
A,20220217,1
A,20220218,1
C,20220221,1
C,20220222,1
C,20220224,1
C,20220225,1
C,20220228,1
A,20220301,1
A,20220302,1
A,20220303,1
A,20220304,1
C,20220307,1
C,20220308,1
C,20220309,1
C,20220310,1
C,20220311,1
C,20220314,1
C,20220315,1
C,20220316,1
C,20220317,1
C,20220318,1
C,20220322,1
A,20220323,1
C,20220324,1
C,20220325,1
C,20220328,1
C,20220329,1
C,20220330,1
C,20220331,1
