trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
A1000,8:00,8:00,S1010,0,0,1
A1000,8:05,8:05,S2013,1,1,0
A1000,8:06,8:06,S2014,2,0,0
A1001,8:05,8:05,S1010,0,0,1
A1001,8:10,8:10,S2013,1,1,0
A1001,8:11,8:11,S2014,2,0,0
A1002,8:10,8:10,S1010,0,0,1
A1002,8:15,8:15,S2013,1,1,0
A1002,8:16,8:16,S2014,2,0,0
A1003,8:15,8:15,S1010,0,0,1
A1003,8:20,8:20,S2013,1,1,0
A1003,8:21,8:21,S2014,2,0,0
A1004,8:20,8:20,S1010,0,0,1
A1004,8:25,8:25,S2013,1,1,0
A1004,8:26,8:26,S2014,2,0,0
A1005,8:25,8:25,S1010,0,0,1
A1005,8:30,8:30,S2013,1,1,0
A1005,8:31,8:31,S2014,2,0,0
A1006,8:30,8:30,S1010,0,0,1
A1006,8:35,8:35,S2013,1,1,0
A1006,8:36,8:36,S2014,2,0,0
A1007,8:35,8:35,S1010,0,0,1
A1007,8:40,8:40,S2013,1,1,0
A1007,8:41,8:41,S2014,2,0,0
A1008,8:40,8:40,S1010,0,0,1
A1008,8:45,8:45,S2013,1,1,0
A1008,8:46,8:46,S2014,2,0,0
A1009,8:45,8:45,S1010,0,0,1
A1009,8:50,8:50,S2013,1,1,0
A1009,8:51,8:51,S2014,2,0,0
A1010,8:50,8:50,S1010,0,0,1
A1010,8:55,8:55,S2013,1,1,0
A1010,8:56,8:56,S2014,2,0,0
A1011,8:55,8:55,S1010,0,0,1
A1011,9:00,9:00,S2013,1,1,0
A1011,9:01,9:01,S2014,2,0,0
A1012,9:00,9:00,S1010,0,0,1
A1012,9:05,9:05,S2013,1,1,0
A1012,9:06,9:06,S2014,2,0,0
A1013,9:05,9:05,S1010,0,0,1
A1013,9:10,9:10,S2013,1,1,0
A1013,9:11,9:11,S2014,2,0,0
A1014,9:10,9:10,S1010,0,0,1
A1014,9:15,9:15,S2013,1,1,0
A1014,9:16,9:16,S2014,2,0,0
A1015,9:15,9:15,S1010,0,0,1
A1015,9:20,9:20,S2013,1,1,0
A1015,9:21,9:21,S2014,2,0,0
A1016,9:20,9:20,S1010,0,0,1
A1016,9:25,9:25,S2013,1,1,0
A1016,9:26,9:26,S2014,2,0,0
A1017,9:25,9:25,S1010,0,0,1
A1017,9:30,9:30,S2013,1,1,0
A1017,9:31,9:31,S2014,2,0,0
A1018,9:30,9:30,S1010,0,0,1
A1018,9:35,9:35,S2013,1,1,0
A1018,9:36,9:36,S2014,2,0,0
A1019,9:35,9:35,S1010,0,0,1
A1019,9:40,9:40,S2013,1,1,0
A1019,9:41,9:41,S2014,2,0,0
A1020,9:40,9:40,S1010,0,0,1
A1020,9:45,9:45,S2013,1,1,0
A1020,9:46,9:46,S2014,2,0,0
A1021,9:50,9:50,S1010,0,0,1
A1021,9:55,9:55,S2013,1,1,0
A1021,9:56,9:56,S2014,2,0,0
A1022,9:55,9:55,S1010,0,0,1
A1022,10:00,10:00,S2013,1,1,0
A1022,10:01,10:01,S2014,2,0,0
A1023,10:00,10:00,S1010,0,0,1
A1023,10:05,10:05,S2013,1,1,0
A1023,10:06,10:06,S2014,2,0,0
A1024,10:05,10:05,S1010,0,0,1
A1024,10:10,10:10,S2013,1,1,0
A1024,10:11,10:11,S2014,2,0,0
A1025,10:10,10:10,S1010,0,0,1
A1025,10:15,10:15,S2013,1,1,0
A1025,10:16,10:16,S2014,2,0,0
A1026,10:15,10:15,S1010,0,0,1
A1026,10:20,10:20,S2013,1,1,0
A1026,10:21,10:21,S2014,2,0,0
A1027,10:20,10:20,S1010,0,0,1
A1027,10:25,10:25,S2013,1,1,0
A1027,10:26,10:26,S2014,2,0,0
A1028,10:25,10:25,S1010,0,0,1
A1028,10:30,10:30,S2013,1,1,0
A1028,10:31,10:31,S2014,2,0,0
A1029,10:30,10:30,S1010,0,0,1
